Item Name,Item Hex
Plaid puffed-sleeve shirt (sweet plaid),00002f35
Dolly shirt (pink),00002664
Dolly shirt (blue),00002eb0
Dolly shirt (yellow),00002eb1
Dolly shirt (purple),00002eb2
Flashy jacket (white),00000cc1
Flashy jacket (black),00001fa8
Flashy jacket (purple),00001fa9
Flashy jacket (berry red),00001faa
Flashy jacket (aquamarine),00001fab
Flashy jacket (yellow),00001fac
Work apron (orange),00002666
Work apron (avocado),00002eb3
Botanical tee (black),00002667
Botanical tee (white),00002eb4
Groovy shirt (orange),00002668
Groovy shirt (green),00002eb5
Groovy shirt (red),00002eb6
Work shirt (red-striped necktie),00000cc2
Work shirt (blue-striped necktie),00002125
Work shirt (purple-striped necktie),00002126
Work shirt (green-striped necktie),00002127
Work shirt (white-striped necktie),00002128
Sushi chef's outfit (white),00000cc4
Sushi chef's outfit (dark blue),000023f4
Emblem blazer (green),00000cc5
Emblem blazer (navy blue),00001fad
Emblem blazer (beige),00001fae
Emblem blazer (berry red),00001faf
Royal shirt (red),00000cd3
Labelle knit shirt (twilight),00002693
Labelle knit shirt (midnight),00002dc4
Labelle knit shirt (passion),00002dc5
Labelle knit shirt (ocean),00002dc6
Labelle knit shirt (sunset),00002dc7
Labelle knit shirt (love),00002dc8
Labelle coat (twilight),00002694
Labelle coat (midnight),00002dc9
Labelle coat (passion),00002dca
Labelle coat (ocean),00002dcb
Labelle coat (sunset),00002dcc
Labelle coat (love),00002dcd
Nook Inc. blouson,000015f9
Nook Inc. aloha shirt,000015fa
Big-star tee,00001aa6
Nook Inc. tee,00002620
Bug aloha shirt,0000223c
Fish-print tee,0000223d
Terry-cloth nightgown (light blue),00002b57
Terry-cloth nightgown (blue),00002e97
Terry-cloth nightgown (green),00002e98
Terry-cloth nightgown (orange),00002e99
Terry-cloth nightgown (pink),00002e9a
Terry-cloth nightgown (cream),00002f9d
Terry-cloth nightgown (purple),00002f9e
Terry-cloth nightgown (lime),00002f9f
Plushie-muffler coat (orange),00002a9d
Plushie-muffler coat (pink),00002ef4
Plushie-muffler coat (gray),00002f03
No. 2 shirt,00002f04
No. 3 shirt,00002f05
No. 4 shirt,00002f06
Konnichiwa tee,00002f52
Bonjour tee,00002f53
Hello tee,00002f54
Annyeong tee,00002f55
Ni hao tee,00002f56
Hallo tee,00002f57
Ciao tee,00002f58
Hola tee,00002f59
Privét tee,00002f5a
Hi tee,00002f5b
Hoi tee,00002f5c
DAL tee,00002f5d
DAL apron,00002f5e
DAL pilot jacket,00002f5f
OK Motors jacket,00003089
Camper tee,0000308a
Color-block dress shirt (blue),00000cf4
Color-block dress shirt (red),00002129
Color-block dress shirt (green),0000212a
Color-block dress shirt (purple),0000212b
Color-block dress shirt (yellow),0000212c
Color-block dress shirt (gray),0000212d
One-ball tee,00000cf8
Four-ball tee,00000cf9
Five-ball tee,00000cfa
Six-ball tee,00000cfb
Seven-ball tee,00000cfc
Eight-ball tee,00000cfd
Nine-ball tee,00000cfe
Sweater on shirt (pink),00000d00
Sweater on shirt (blue),0000212e
Sweater on shirt (yellow),0000212f
Sweater on shirt (green),00002130
Sweater on shirt (gray),00002131
Track jacket (navy blue),00000d06
Track jacket (gray),00001dbb
Track jacket (white),00001dbc
Track jacket (red),00001dbd
Track jacket (light blue),00001dbe
Track jacket (green),00001dbf
Track jacket (blue),00001dc0
Waistcoat (gray),00000d0b
Waistcoat (black),0000204a
Waistcoat (beige),0000204b
Waistcoat (white),0000204c
Waistcoat (navy blue),0000204d
Nurse's jacket (blue),00000d16
Nurse's jacket (white),00001e6e
Nurse's jacket (pink),00001e6f
Striped tank (green),00000d37
Striped tank (orange),00001e52
Striped tank (blue),00001e53
Striped tank (yellow),00001e54
Striped tank (red),00001e55
Striped tank (gray),00001e56
Striped tank (black),00001e57
Striped tank (pink),00001e58
Tuxedo jacket (black),00000d3c
Tuxedo jacket (gray),0000204e
Tuxedo jacket (white),0000204f
Morning coat,00000d49
Tailored jacket (gray),00000d92
Tailored jacket (black),00002050
Tailored jacket (navy blue),00002051
Tailored jacket (beige),00002052
Tailored jacket (green),00002053
Sweater-vest (beige),00000da1
Sweater-vest (navy blue),00001fb4
Sweater-vest (gray),00001fb5
Sweater-vest (white),00001fb6
Kanji tee (green),00000df7
Kanji tee (pink),000020e8
Kanji tee (blue),000020e9
Kanji tee (black),000020ea
Cardigan-shirt combo (yellow),00000dfa
Cardigan-shirt combo (mint),00001f4f
Cardigan-shirt combo (pink),00001f50
Cardigan-shirt combo (blue),00001f51
Cardigan-shirt combo (gray),00001f52
Cardigan-shirt combo (black),00001f53
Argyle sweater (green),00000dfb
Argyle sweater (gray),00001e3e
Argyle sweater (mustard),00001e3f
Argyle sweater (black),00001e40
Argyle sweater (red),00001e41
Argyle sweater (purple),00001e42
Argyle sweater (pink),00001e43
Argyle sweater (white),00001e44
Flower sweater (red),00000e0d
Flower sweater (green),00001ea2
Flower sweater (white),00001ea3
Flower sweater (yellow),00001ea4
Tennis sweater (ivory),00000e0f
Tennis sweater (green),00001e45
Tennis sweater (brown),00001e46
Tennis sweater (red),00001e47
Yodel sweater (camel),00000e2e
Yodel sweater (beige),00001e28
Yodel sweater (light gray),00001e29
Yodel sweater (orange),00001e2a
Yodel sweater (off-white),00001e2b
Snowy sweater (gray),00000e2f
Snowy sweater (blue),00001e3a
Snowy sweater (black),00001e3b
Yodel cardigan (ice blue),00000e30
Yodel cardigan (beige),00001e23
Yodel cardigan (mustard),00001e24
Yodel cardigan (mint),00001e25
Yodel cardigan (red),00001e26
Yodel cardigan (navy blue),00001e27
Aran-knit sweater (red),00000e31
Aran-knit sweater (white),00001df8
Aran-knit sweater (gray),00001df9
Aran-knit sweater (green),00001dfa
Aran-knit sweater (black),00001dfb
Aran-knit sweater (orange),00001dfc
Aran-knit sweater (blue),00001dfd
Dreamy sweater (pink),00000e33
Dreamy sweater (blue),00001f41
Aran-knit cardigan (beige),00000e3b
Aran-knit cardigan (light blue),00001dfe
Aran-knit cardigan (pink),00001dff
Aran-knit cardigan (yellow),00001e00
Collarless coat (gray),00000e4f
Collarless coat (beige),000020f1
Collarless coat (pink),000020f2
Thick-stripes shirt (yellow & navy),00000e52
Thick-stripes shirt (green & navy),00001dc6
Thick-stripes shirt (rose red & navy),00001dc7
Thick-stripes shirt (beige & navy),00001dc8
Thick-stripes shirt (green & purple),00001dc9
Thick-stripes shirt (yellow & red),00001dca
Thick-stripes shirt (navy & gray),00001dcb
Thick-stripes shirt (light blue & black),00001dcc
Sweatshirt (gray),00000e57
Sweatshirt (green),00001f28
Sweatshirt (yellow),00001f29
Sweatshirt (purple),00001f2a
Sweatshirt (red),00001f2b
Sweatshirt (blue),00001f2c
Henley shirt (green),00000e5a
Henley shirt (mustard),00002160
Henley shirt (light blue),00002161
Henley shirt (purple),00002162
Gilet and shirt (black),00000e5c
Gilet and shirt (blue),000020d0
Gilet and shirt (red),000020d1
Gilet and shirt (gray),000020d2
Vertical-stripes shirt (blue),00000e5d
Vertical-stripes shirt (purple),00001e60
Vertical-stripes shirt (pink),00001e61
Vertical-stripes shirt (green),00001e62
Vertical-stripes shirt (gray),00001e63
Vertical-stripes shirt (beige),00001e64
Vertical-stripes shirt (orange),00002282
Coverall coat (avocado),00000e60
Coverall coat (navy blue),00002448
Coverall coat (beige),00002449
Coverall coat (red),0000244a
Guayabera shirt (green),00000e67
Guayabera shirt (red),000024da
Guayabera shirt (brown),000024db
Guayabera shirt (blue),000024dc
Short peacoat (black),00000e68
Short peacoat (navy blue),0000244b
Short peacoat (beige),0000244c
Short peacoat (orange),0000244d
Short peacoat (green),0000244e
Short peacoat (gray),0000244f
Short peacoat (pink),00002450
Collarless shirt (black),00000e6a
Collarless shirt (white),0000213e
Heavy-duty shirt (ochre),00000e6e
Heavy-duty shirt (green),0000213f
Heavy-duty shirt (blue),00002140
Heavy-duty shirt (red),00002141
Bowling shirt (red),00000e72
Bowling shirt (blue),000024dd
Bowling shirt (yellow),000024de
Bowling shirt (orange),000024df
Bowling shirt (beige),000024e0
Bowling shirt (green),000024e1
Bowling shirt (light blue),000024e2
Bowling shirt (purple),000024e3
V-neck sweater (blue),00000e74
V-neck sweater (red),00002163
V-neck sweater (black),00002164
Boa fleece (white),00000e79
Boa fleece (green),0000207b
Boa fleece (navy blue),0000207c
Boa fleece (beige),0000207d
Boa fleece (blue),0000207e
Boa fleece (pink),0000207f
Boa fleece (yellow),00002080
Boa fleece (lime),00002081
Tweed jacket (brown),00000e7a
Tweed jacket (blue),00001fb9
Tweed jacket (beige),00001fba
Tweed jacket (berry red),00001fbb
Tweed jacket (green),00001fbc
Tweed jacket (pink),00001fbd
Layered shirt (navy blue),00000edc
Layered shirt (white),00002165
Layered shirt (green),00002166
Layered shirt (orange),00002167
Lacy shirt (black),00000ee3
Lacy shirt (beige),00002185
Chesterfield coat (camel),00000f63
Chesterfield coat (brown),000020f3
Chesterfield coat (black),000020f4
Chesterfield coat (gray),000020f5
Checkered chesterfield coat (brown),00000f65
Checkered chesterfield coat (green),000020f6
Checkered chesterfield coat (blue),000020f7
Checkered chesterfield coat (gray),000020f8
Oversized shawl overshirt (brown),0000103a
Oversized shawl overshirt (pink),000020eb
Oversized shawl overshirt (gray),000020ec
Young-royal shirt (white),00001066
Young-royal shirt (black),00002132
Young-royal shirt (pink),00002133
Young-royal shirt (blue),00002134
Young-royal shirt (cream),00002135
Fitness tank (mint),0000106d
Fitness tank (pink),00001f6d
Fitness tank (light blue),00001f6e
Fitness tank (orange),00001f6f
Fitness tank (black),00001f70
Fitness tank (yellow),00001f71
Fitness tank (red),00001f72
Fitness tank (purple),00001f73
Flight jacket (brown),0000106f
Flight jacket (black),00002174
Flight jacket (avocado),00002175
Tie-dye shirt,00001073
Fuzzy vest (navy blue),00001074
Fuzzy vest (beige),00002142
Fuzzy vest (brown),00002143
Fuzzy vest (green),00002144
Fuzzy vest (red),00002145
Quilted down jacket (navy blue),0000107c
Quilted down jacket (gray),00002451
Quilted down jacket (green),00002452
Quilted down jacket (purple),00002453
Quilted down jacket (olive),00002454
Peasant blouse (white),00001097
Peasant blouse (black),00002186
Peasant blouse (beige),00002187
Peasant blouse (pink),00002188
Peasant blouse (purple),00002189
Tube top (green),0000109d
Tube top (red),00001f92
Tube top (yellow),00001f93
Tube top (dark gray),00001f94
Tube top (purple),00001f95
Tube top (blue),00001f96
Tube top (dark red),00001f97
Muscle tank (gray),000010ab
Muscle tank (yellow),00001f74
Muscle tank (purple),00001f75
Muscle tank (pink),00001f76
Muscle tank (black),00001f77
Muscle tank (red),00001f78
Muscle tank (green),00001f79
Muscle tank (blue),00001f7a
Striped tee (navy blue),000010b3
Striped tee (red),00001e4d
Striped tee (camel),00001e4e
Striped tee (green),00001e4f
Striped tee (purple),00001e50
Striped tee (white),00001e51
Puffy vest (navy blue),000010b5
Puffy vest (camel),00002082
Puffy vest (blue),00002083
Puffy vest (olive),00002084
Puffy vest (red),00002085
Nylon jacket (black),000010bd
Nylon jacket (green),00002146
Nylon jacket (blue),00002147
Nylon jacket (red),00002148
Gown coat (brown),000010be
Gown coat (black),0000240a
Gown coat (blue),0000240b
Gown coat (red),0000240c
Plover cardigan (red),000010c1
Plover cardigan (black),00001f54
Plover cardigan (green),00001f55
Pocket tee (white),000010c3
Pocket tee (black),0000209d
Pocket tee (purple),0000209e
Pocket tee (light blue),0000209f
Pocket tee (red),000020a0
Pocket tee (yellow),000020a1
Pocket tee (pink),000020a2
Pocket tee (green),000020a3
Tight-knit sweater (black),000010ce
Tight-knit sweater (beige),00002168
Tight-knit sweater (gray),00002169
College cardigan (navy blue),000010d2
College cardigan (red),00001e48
College cardigan (gray),00001e49
College cardigan (orange),00001e4a
College cardigan (white),00001e4b
Front-tie tee (black),000010e0
Front-tie tee (white),000020a4
Front-tie tee (red),000020a5
Front-tie tee (lime),000020a6
Gold-print tee (black),000010e7
Gold-print tee (white),000020ed
Text shirt (black),000010f4
Text shirt (white),000020d3
Text shirt (red),000020d4
Hawk jacket,000010f7
Business suitcoat (black),0000110b
Business suitcoat (gray),00002057
Business suitcoat (blue),00002058
Business suitcoat (berry red),00002059
Business suitcoat (navy blue),0000205a
School jacket (black),0000110d
School jacket (berry red),00001d7c
School jacket (green),00001d7d
School jacket (white),00001d7e
School jacket (purple),00001d7f
School jacket (gray),00001d80
School jacket (blue),00001d81
After-school jacket (black),0000110e
After-school jacket (berry red),00001d82
After-school jacket (green),00001d83
After-school jacket (white),00001d84
After-school jacket (purple),00001d85
After-school jacket (gray),00001d86
After-school jacket (blue),00001d87
Poncho coat (red),00001110
Poncho coat (yellow),0000211a
Poncho coat (pink),0000211b
Poncho coat (navy blue),0000211c
Vampire costume (black),0000112b
Vampire costume (purple),0000205b
Bomber-style jacket (avocado),00001131
Bomber-style jacket (black),00002176
Bomber-style jacket (blue),00002177
Bomber-style jacket (brown),00002178
Camo bomber-style jacket (green),00001132
Camo bomber-style jacket (gray),00002179
Camo bomber-style jacket (purple),0000217a
Sea hanten shirt (dark blue),00001137
Sea hanten shirt (blue),00002402
Faux-hair sweater (red),00001141
Faux-hair sweater (white),00001de0
Space parka (blue),00001142
Space parka (purple),00001db5
Baseball shirt (navy blue),00001143
Baseball shirt (red),000024b1
Baseball shirt (gray),000024b2
Baseball shirt (black),000024b3
Baseball shirt (white),000024b4
Baseball shirt (yellow),000024b5
Parka undercoat (navy blue),00001144
Parka undercoat (blue),000020fc
Parka undercoat (black),000020fd
Parka undercoat (green),000020fe
Parka undercoat (gray),000020ff
Parka undercoat (yellow),00002100
Workout top (lime),00001145
Workout top (pink),00001f7b
Workout top (orange),00001f7c
Mod parka (green),00001146
Mod parka (brown),00002457
Tee-parka combo (lime),00001147
Tee-parka combo (blue),00001f30
Tee-parka combo (orange),00001f31
Tee-parka combo (pink),00001f32
Tee-parka combo (mint),00001f33
Heart apron (pink),0000114d
Heart apron (blue),00002582
Heart apron (red),00002583
Heart apron (purple),00002584
Heart apron (green),00002585
Prince's tunic (blue),00001151
Prince's tunic (beige),00002032
Prince's tunic (green),00002033
Prince's tunic (red),00002034
Prince's tunic (purple),00002035
Safety vest (black),00001153
Safety vest (orange),00002504
Tailcoat (black),00001158
Tailcoat (white),0000205c
Folk shirt (red),0000115e
Folk shirt (brown),00001ea8
Folk shirt (blue),00001ea9
Football shirt (green),0000115f
Football shirt (white),000024b6
Football shirt (yellow),000024b7
Football shirt (berry red),000024b8
Football shirt (blue),000024b9
Football shirt (turquoise),000024ba
Football shirt (red),000024bb
Football shirt (black),000024bc
Skiwear (blue),00001160
Skiwear (light blue),00001db0
Skiwear (purple),00001db1
Skiwear (green),00001db2
Skiwear (red),00001db3
Skiwear (ruby red),00001db4
Animal-print coat (blue),00001171
Animal-print coat (green),00002101
Animal-print coat (purple),00002102
Animal-print coat (pink),00002103
Retro coat (green),00001175
Retro coat (mustard),00002104
Retro coat (red),00002105
Retro coat (blue),00002106
Hula top (red),00001186
Hula top (orange),000024e4
Hula top (beige),000024e5
Hula top (purple),000024e6
Hula top (green),000024e7
Groovy tunic (orange),00001188
Groovy tunic (brown),0000240d
Groovy tunic (camel),0000240e
Career jacket (gray),00001197
Career jacket (beige),00001cd7
Career jacket (peach),00001cd8
Career jacket (light blue),00001cd9
Career jacket (pink),00001cda
Career jacket (green),00001cdb
Career jacket (blue),00001cdc
Career jacket (red),00001cdd
Chimayo vest (navy blue),0000119b
Chimayo vest (red),000024e8
Chimayo vest (white),000024e9
Chimayo vest (light blue),000024ea
Kurta (green),000011a7
Kurta (gray),00001d9d
Kurta (blue),00001d9e
Kurta (beige),00001d9f
Pullover jacket (red),000011a9
Pullover jacket (light blue),00001db7
Pullover jacket (navy blue),00001db8
Pullover jacket (purple),00001db9
Pullover jacket (coral),00001dba
Tweed vest (green),000011ac
Tweed vest (red),00002136
Tweed vest (navy blue),00002137
Checkered muffler (white),000011c9
Checkered muffler (gray),00001f42
Checkered muffler (brown),00001f43
