Item Hex,Item Name
00001285,No-show socks (gray)
00002713,No-show socks (white)
00002714,No-show socks (berry red)
00002715,No-show socks (light blue)
00002716,No-show socks (orange)
00002717,No-show socks (green)
00002718,No-show socks (navy blue)
00002719,No-show socks (yellow)
00001286,Aran-knit socks (beige)
00002362,Aran-knit socks (white)
00002363,Aran-knit socks (red)
00002364,Aran-knit socks (green)
00002365,Aran-knit socks (blue)
00002366,Aran-knit socks (black)
00001287,Sequin leggings (pink)
00002d3c,Sequin leggings (red)
00002d3d,Sequin leggings (black)
00002d3e,Sequin leggings (yellow)
00002d3f,Sequin leggings (white)
00002d40,Sequin leggings (blue)
00002d41,Sequin leggings (purple)
00002d42,Sequin leggings (green)
00001288,Stretch leggings (navy blue)
00002630,Stretch leggings (gray)
00002631,Stretch leggings (dark gray)
00002632,Stretch leggings (white)
00002633,Stretch leggings (black)
00002634,Stretch leggings (brown)
00002635,Stretch leggings (green)
00001289,Denim leggings (blue)
00002636,Denim leggings (indigo blue)
00002637,Denim leggings (saxon blue)
00002638,Denim leggings (light blue)
0000128a,Tube socks (blue)
000026ee,Tube socks (orange)
000026ef,Tube socks (green)
000026f0,Tube socks (red)
000026f1,Tube socks (navy blue)
000026f2,Tube socks (berry red)
000026f3,Tube socks (dark green)
000026f4,Tube socks (purple)
0000128b,Garter socks (black)
000025bd,Garter socks (white)
000025be,Garter socks (purple)
000025bf,Garter socks (red)
0000128c,Nordic socks (navy blue)
000026a1,Nordic socks (ivory)
000026a2,Nordic socks (red)
000026a3,Nordic socks (blue)
000026a4,Nordic socks (gray)
000026a5,Nordic socks (green)
000026a6,Nordic socks (light blue)
0000128d,Tabi (white)
000022e1,Tabi (black)
000022e2,Tabi (navy blue)
0000142f,Ultra no-show socks (blue)
0000271a,Ultra no-show socks (pink)
0000271b,Ultra no-show socks (brown)
0000271c,Ultra no-show socks (olive)
0000271d,Ultra no-show socks (green)
0000271e,Ultra no-show socks (purple)
0000271f,Ultra no-show socks (black)
00002720,Ultra no-show socks (white)
00001430,Mixed-tweed socks (red)
00002367,Mixed-tweed socks (avocado)
00002368,Mixed-tweed socks (light blue)
00002369,Mixed-tweed socks (purple)
0000236a,Mixed-tweed socks (blue)
0000236b,Mixed-tweed socks (orange)
0000236c,Mixed-tweed socks (lime)
0000236d,Mixed-tweed socks (pink)
00001431,Leg warmers (purple)
00002639,Leg warmers (black)
0000263a,Leg warmers (gray)
0000263b,Leg warmers (pink)
0000263c,Leg warmers (light purple)
0000263d,Leg warmers (blue)
00001432,Compression tights (blue)
0000263e,Compression tights (yellow)
0000263f,Compression tights (pink)
00002640,Compression tights (mint)
00002641,Compression tights (red)
00001433,Bobby socks (white)
00002721,Bobby socks (gray)
00002722,Bobby socks (black)
00002723,Bobby socks (brown)
00001434,Frilly knee-high socks (black)
00002d45,Frilly knee-high socks (green)
00002d46,Frilly knee-high socks (red)
00002d47,Frilly knee-high socks (brown)
00002d48,Frilly knee-high socks (mint)
00002d49,Frilly knee-high socks (pink)
00002d4a,Frilly knee-high socks (purple)
00002d4b,Frilly knee-high socks (yellow)
00001435,Lace socks (white)
000022e3,Lace socks (pink)
000022e4,Lace socks (green)
000022e5,Lace socks (black)
000027ba,Lace socks (beige)
00001436,Frilly socks (white)
000022e6,Frilly socks (yellow)
000022e7,Frilly socks (pink)
000022e8,Frilly socks (green)
000022e9,Frilly socks (purple)
000022ea,Frilly socks (blue)
00001438,Holey tights (black)
000025c0,Holey tights (pink)
000025c1,Holey tights (light blue)
000025c2,Holey tights (red)
000025c3,Holey tights (purple)
000025c4,Holey tights (green)
000025c5,Holey tights (blue)
000025c6,Holey tights (yellow)
00001439,Soccer socks (blue)
000026f5,Soccer socks (red)
000026f6,Soccer socks (green)
000026f7,Soccer socks (light blue)
000026f8,Soccer socks (black)
000026f9,Soccer socks (orange)
000026fa,Soccer socks (white)
0000143a,Holey socks (blue)
0000236e,Holey socks (navy blue)
0000236f,Holey socks (white)
0000143b,Pom-pom socks (pink)
00002370,Pom-pom socks (blue)
00002371,Pom-pom socks (green)
00002372,Pom-pom socks (orange)
00002373,Pom-pom socks (purple)
0000143c,Color-blocked socks (purple)
000026a7,Color-blocked socks (green)
000026a8,Color-blocked socks (brown)
000026a9,Color-blocked socks (blue)
000026aa,Color-blocked socks (beige)
000026ab,Color-blocked socks (white)
000026ac,Color-blocked socks (lime)
000026ad,Color-blocked socks (pink)
0000143d,Terry-cloth socks (pink)
000026fb,Terry-cloth socks (purple)
000026fc,Terry-cloth socks (blue)
000026fd,Terry-cloth socks (green)
000026fe,Terry-cloth socks (beige)
000026ff,Terry-cloth socks (red)
00002700,Terry-cloth socks (gray)
0000144b,Layered socks (purple)
000026ae,Layered socks (blue)
000026af,Layered socks (yellow)
000026b0,Layered socks (green)
000026b1,Layered socks (red)
000026b2,Layered socks (orange)
0000144c,Hand-knit socks (green)
00002374,Hand-knit socks (purple)
00002375,Hand-knit socks (orange)
0000144d,Aerobics leggings (red & pink)
00002642,Aerobics leggings (emerald & lime)
00002643,Aerobics leggings (purple & orange)
00002644,Aerobics leggings (light blue & salmon pink)
00002645,Aerobics leggings (yellow & blue)
0000144e,Puckered socks (mustard)
00002376,Puckered socks (red)
00002377,Puckered socks (blue)
00002378,Puckered socks (green)
00002379,Puckered socks (purple)
0000144f,Striped socks (monotone)
00001af6,Striped socks (light blue)
0000270c,Striped socks (green)
0000270d,Striped socks (yellow)
0000270e,Striped socks (orange)
0000270f,Striped socks (red)
00002710,Striped socks (purple)
00002711,Striped socks (blue)
00001450,Simple-accent socks (navy blue)
0000237a,Simple-accent socks (black)
0000237b,Simple-accent socks (white)
0000237c,Simple-accent socks (gray)
0000237d,Simple-accent socks (blue)
0000237e,Simple-accent socks (orange)
0000237f,Simple-accent socks (red)
00002380,Simple-accent socks (pink)
00001451,Kiddie socks (red & light blue)
00002701,Kiddie socks (blue & orange)
00002702,Kiddie socks (lime & pink)
00002703,Kiddie socks (yellow & purple)
00002704,Kiddie socks (light blue & red)
00002705,Kiddie socks (purple & green)
00002706,Kiddie socks (pink & yellow)
00002707,Kiddie socks (black & gray)
00001452,Crocheted socks (beige)
000022eb,Crocheted socks (gray)
000022ec,Crocheted socks (purple)
000022ed,Crocheted socks (blue)
00001453,Spider-web tights (black)
000025c7,Spider-web tights (white)
000025c8,Spider-web tights (orange)
000025c9,Spider-web tights (purple)
00001454,Embroidered-flower tights (brown)
000026b3,Embroidered-flower tights (black)
000026b4,Embroidered-flower tights (green)
000026b5,Embroidered-flower tights (beige)
000026b6,Embroidered-flower tights (blue)
000026b7,Embroidered-flower tights (purple)
0000145e,Running tights (pink)
00002646,Running tights (yellow)
00002647,Running tights (blue)
00002648,Running tights (green)
0000151e,Funny-face socks (pink)
00002708,Funny-face socks (blue)
00002709,Funny-face socks (red)
0000270a,Funny-face socks (green)
0000270b,Funny-face socks (black)
00001544,Geometric-print socks (yellow)
000026b8,Geometric-print socks (peacock blue)
000026b9,Geometric-print socks (purple)
000026ba,Geometric-print socks (beige)
000026bb,Geometric-print socks (pink)
000026bc,Geometric-print socks (green)
000016ac,Flowery-dot tights (white)
000026bd,Flowery-dot tights (pink)
000026be,Flowery-dot tights (blue)
000026bf,Flowery-dot tights (yellow)
000026c0,Flowery-dot tights (black)
000016ae,Argyle crew socks (blue)
000026c1,Argyle crew socks (red)
000026c2,Argyle crew socks (green)
000026c3,Argyle crew socks (beige)
000026c4,Argyle crew socks (gray)
000026c5,Argyle crew socks (white)
000026c6,Argyle crew socks (orange)
000026c7,Argyle crew socks (pink)
000016b4,Sheer socks (blue)
000026c8,Sheer socks (berry red)
000026c9,Sheer socks (brown)
000026ca,Sheer socks (green)
000026cb,Sheer socks (olive)
000026cc,Sheer socks (gray)
000016b5,Wave-print socks (blue)
000026cd,Wave-print socks (brown)
000026ce,Wave-print socks (purple)
000026cf,Wave-print socks (green)
000026d0,Wave-print socks (gray)
0000179c,Country socks (red ribbons)
000022ee,Country socks (green ribbons)
000022ef,Country socks (blue ribbons)
000022f0,Country socks (black ribbons)
0000179d,Striped tights (red)
000026d1,Striped tights (gray)
000026d2,Striped tights (pink)
000026d3,Striped tights (light blue)
000026d4,Striped tights (yellow)
000026d5,Striped tights (purple)
000026d6,Striped tights (green)
000026d7,Striped tights (orange)
0000179e,Patterned stockings (black)
000025ca,Patterned stockings (white)
