Item Name,Item Hex
Skateboarding helmet (light blue),00002f13
Aran-knit cap (white),00002688
Aran-knit cap (red),00002f0d
Aran-knit cap (blue),00002f0e
Aran-knit cap (green),00002f0f
Lettered cap (red),0000268a
Lettered cap (beige),00002f0b
Lettered cap (olive),00002f0c
Ribboned garden hat (blue),0000268c
Ribboned garden hat (pink),00002ed6
Ribboned garden hat (black),00002ed7
Ribboned garden hat (brown),00002ed8
Patchwork tulip hat (pink),0000268e
Patchwork tulip hat (blue),00002ed9
Patchwork tulip hat (yellow),00002eda
Apple hat,0000268f
Pear hat,00002690
Cherry hat,00002691
Peach hat,00002692
Labelle cap (twilight),00002698
Labelle cap (midnight),00002de2
Labelle cap (passion),00002de3
Labelle cap (ocean),00002de4
Labelle cap (sunset),00002de5
Labelle cap (love),00002de6
Labelle hat (twilight),00002699
Labelle hat (midnight),00002de7
Labelle hat (passion),00002de8
Labelle hat (ocean),00002de9
Labelle hat (sunset),00002dea
Labelle hat (love),00002deb
Nook Inc. cap,000015fb
Nook Inc. bandanna,000015fc
Rain hat (yellow),00001ce2
Rain hat (green),00002561
Rain hat (pink),00002562
Rain hat (blue),00002563
Rain hat (red),00002564
Rain hat (black),00002565
Rain hat (purple),00002566
Rain hat (beige),00002567
Tropical hat (mint),00002b35
Tropical hat (white),00002f09
Tropical hat (blue),00002f0a
Tropical hat (yellow),00002f4e
Tropical hat (pink),00002f4f
Tubeteika (red),00002aa1
Tubeteika (blue),00002efe
Tubeteika (camel),00002eff
Tubeteika (purple),00002f00
Matanpushi (blue),00002aa2
Matanpushi (brown),00002f01
Matanpushi (red),00002f02
DAL cap,00002f64
OK Motors cap,00003088
Earth-egg shell,00003097
Stone-egg shell,00003098
Leaf-egg shell,00003099
Wood-egg shell,0000309a
Sky-egg shell,0000309b
Water-egg shell,0000309c
Bunny Day crown,0000309d
Egg party hat,0000309e
School hat (yellow),00001283
School hat (navy blue),00002a73
New Year's hat (red),000012bf
New Year's hat (blue),00001442
New Year's hat (yellow),00001443
New Year's hat (green),00001444
New Year's hat (orange),00001445
New Year's hat (purple),00001446
New Year's hat (pink),00001447
New Year's hat (light blue),00001448
Birthday hat (blue),000012c0
Birthday hat (yellow),00002b17
Birthday hat (pink),00002b18
Hyacinth crown,000013e8
Cool hyacinth crown,000013e9
Purple hyacinth crown,000013ea
Windflower crown,000013eb
Cool windflower crown,000013ec
Purple windflower crown,000013ed
Tulip crown,000013ee
Chic tulip crown,000013ef
Dark tulip crown,000013f0
Pansy crown,000013f1
Cool pansy crown,000013f2
Purple pansy crown,000013f3
Cosmos crown,000013f4
Lovely cosmos crown,000013f5
Dark cosmos crown,000013f6
Rose crown,000013f7
Cute rose crown,000013f8
Chic rose crown,000013f9
Lily crown,000013fa
Cute lily crown,000013fb
Dark lily crown,000013fc
Mum crown,000013fd
Chic mum crown,000013fe
Simple mum crown,000013ff
Mesh cap (purple),00001408
Mesh cap (red),00002cf2
Mesh cap (pink),00002cf3
Mesh cap (green),00002cf4
Mesh cap (orange),00002cf5
Mesh cap (yellow),00002cf6
Mesh cap (black),00002cf7
Top hat (black),00001409
Top hat (white),00002b19
Top hat (brown),00002b1a
Top hat (purple),00002b1b
Top hat (red),00002b1c
Top hat (blue),00002b1d
Explorer's hat (camel),00001410
Explorer's hat (avocado),00002e21
Explorer's hat (beige),00002e22
Explorer's hat (blue),00002e23
Scholar's hat (red),00001411
Scholar's hat (green),00002e5b
Scholar's hat (blue),00002e5c
Scholar's hat (yellow),00002e5d
Sombrero (natural & red),00001412
Sombrero (natural & green),00002a74
Sombrero (navy blue),00002a75
Sombrero (green),00002a76
Sombrero (white),00002a77
Sombrero (red),00002a78
Sombrero (blue),00002a79
Sombrero (orange),00002a7a
Safety helmet (yellow),00001413
Safety helmet (blue),000027e7
Safety helmet (orange),000027e8
Safety helmet (green),000027e9
Safety helmet (black),000027ea
Chef's hat,00001414
Police cap,00001415
Bamboo hat,00001417
Faux-fur hat (beige),00001418
Faux-fur hat (brown),00002aa8
Faux-fur hat (gray),00002aa9
Faux-fur hat (black),00002aaa
Faux-fur hat (pink),00002aab
Faux-fur hat (white),00002aac
Faux-fur hat (red),00002aad
Do-rag (yellow),00001419
Do-rag (blue),000029f8
Do-rag (red),000029f9
Do-rag (pink),000029fa
Do-rag (black),000029fb
Do-rag (purple),000029fc
Do-rag (green),000029fd
Do-rag (beige),000029fe
Knit hat (black),0000141a
Knit hat (white),00001ae0
Knit hat (gray),00001ae1
Knit hat (ochre),00001ae2
Knit hat (red),00002dd3
Knit hat (blue),00002dd4
Knit hat (green),00002dd5
Knit hat (pink),00002dd6
Paperboy cap (brown),0000141b
Paperboy cap (gray),00002cf8
Paperboy cap (green),00002cf9
Paperboy cap (blue),00002cfa
Paperboy cap (red),00002cfb
Plain cap (gray),0000141c
Plain cap (beige),00002cfc
Plain cap (red),00002cfd
Plain cap (blue),00002cfe
Plain cap (green),00002cff
Sailor's hat (white),00001491
Sailor's hat (navy blue),000029ff
Sailor's hat (blue),00002a00
Viking helmet (gray),00001492
Viking helmet (brown),0000260b
Viking helmet (blue),0000260c
Mage's hat (black),0000147d
Mage's hat (blue),00002e43
Mage's hat (white),00002e44
Mage's hat (red),00002e45
Denim cap (blue),00001488
Denim cap (light blue),00002d00
Denim cap (black),00002d01
Denim cap (white),00002d02
Cycling cap (blue),00001489
Cycling cap (black & blue),00002d94
Cycling cap (black & red),00002d95
Cycling cap (yellow & avocado),00002d96
Cycling cap (red & green),00002d97
Cycling cap (red),00002d98
Cycling cap (lime & purple),00002d99
Cycling cap (blue & purple),00002d9a
Outdoor hat (orange),0000148a
Outdoor hat (blue),00002b1e
Outdoor hat (purple),00002b1f
Outdoor hat (red),00002b20
Outdoor hat (yellow),00002b21
Outdoor hat (light blue),00002b22
Outdoor hat (green),00002b23
Outdoor hat (beige),00002b24
Straw boater (cream),0000148b
Straw boater (beige),00002a7b
Straw boater (light brown),00002a7c
Straw boater (brown),00002a7d
Straw boater (dark brown),00002a7e
Straw boater (monotone),00002a7f
Straw boater (light blue),00002a80
Straw boater (pink),00002a81
Beret (berry red),0000148c
Beret (blue),00002d03
Beret (green),00002d04
Beret (mustard),00002d05
Beret (gray),00002d06
Beret (white),00002d07
Orange hat,0000149b
Kiwi hat,0000149c
Strawberry hat,0000149d
Grape hat,0000149e
Pineapple cap,0000149f
Watermelon hat,000014a0
Sushi chef hat (white),000014a1
Sushi chef hat (dark blue),00002e26
Bicycle helmet (blue),000014a2
Bicycle helmet (navy blue),000027eb
Bicycle helmet (red),000027ec
Bicycle helmet (lime),000027ed
Bicycle helmet (green),000027ee
Bicycle helmet (orange),000027ef
Bicycle helmet (purple),000027f0
Bicycle helmet (pink),000027f1
Swimming cap (yellow),000014a3
Swimming cap (light blue),00002a01
Swimming cap (red),00002a02
Swimming cap (white),00002a03
Swimming cap (black),00002a04
Swimming cap (blue),00002a05
Swimming cap (pink),00002a06
Swimming cap (green),00002a07
Silk hat (green),000014a4
Silk hat (blue),00002e49
Silk hat (yellow),00002e4a
Silk hat (black),00002e4b
Tulip hat (orange),000014ad
Tulip hat (brown),00002e3a
Tulip hat (camel),00002e3b
Paisley bandanna (red),000014ae
Paisley bandanna (blue),00002a08
Paisley bandanna (yellow),00002a09
Paisley bandanna (black),00002a0a
Paisley bandanna (green),00002a0b
Paisley bandanna (orange),00002a0c
Paisley bandanna (pink),00002a0d
Paisley bandanna (purple),00002a0e
Alpinist hat (green),000014af
Alpinist hat (blue),00002e6c
Alpinist hat (red),00002e6d
Bowler hat with ribbon (blue),000014b0
Bowler hat with ribbon (beige),00002a82
Bowler hat with ribbon (green),00002a83
Bowler hat with ribbon (red),00002a84
Bowler hat with ribbon (pink),00002a85
Wide-brim straw hat (black),000014b1
Wide-brim straw hat (beige),00002a86
Wide-brim straw hat (white),00002a87
Dotted shower cap (pink),000014b2
Dotted shower cap (blue),00002a49
Fedora (beige),000014b5
Fedora (black),00002b25
Fedora (green),00002b26
Fedora (gray),00002b27
Fedora (white),00002b28
Fedora (red),00002b29
Frugal hat (brown),000014b3
Frugal hat (green),00002e46
Frugal hat (blue-gray),00002e47
Sports cap (red),000014b9
Sports cap (white & red),00002d08
Sports cap (blue),00002d09
Sports cap (white & blue),00002d0a
Terry-cloth nightcap (light blue),000014b8
Terry-cloth nightcap (blue),00002aae
Terry-cloth nightcap (green),00002aaf
Terry-cloth nightcap (orange),00002ab0
Terry-cloth nightcap (pink),00002ab1
Terry-cloth nightcap (cream),00002ab2
Terry-cloth nightcap (purple),00002ab3
Terry-cloth nightcap (lime),00002ab4
Royal crown,000014bb
Terry-cloth do-rag (white),000014bf
Terry-cloth do-rag (black),00002a0f
Terry-cloth do-rag (blue),00002a10
Terry-cloth do-rag (brown),00002a11
Terry-cloth do-rag (yellow),00002a12
Terry-cloth do-rag (berry red),00002a13
Acorn knit cap (chestnut),000014c3
Acorn knit cap (mustard),00002ab5
Acorn knit cap (avocado),00002ab6
Acorn knit cap (berry red),00002ab7
Acorn knit cap (navy blue),00002ab8
Acorn knit cap (cream),00002ab9
Combat helmet (avocado),000014c4
Combat helmet (brown),000027f2
Shallow knit cap (green),000014d1
Shallow knit cap (beige),00002aba
Shallow knit cap (navy blue),00002abb
Shallow knit cap (red),00002abc
Shallow knit cap (purple),00002abd
Shallow knit cap (gray),00002abe
Shallow knit cap (brown),00002abf
Captain's hat (white),000014d4
Dandy hat (camel),000014d5
Dandy hat (blue),00002d0b
Dandy hat (green),00002d0c
Dandy hat (purple),00002d0d
Dandy hat (gray),00002d0e
Dandy hat (white),00002d0f
Wizard's cap (blue),000014d8
Wizard's cap (purple),00002e48
Balloon hat (rainbow),000014dc
Balloon hat (orange),00002b2a
Balloon hat (blue),00002b2b
Balloon hat (green),00002b2c
Elegant hat (purple),000014e7
Elegant hat (green),00002a88
Elegant hat (red),00002a89
Elegant hat (white),00002a8a
Elegant hat (black),00002a8b
Jester's cap (purple & yellow),00001509
Jester's cap (black & white),00002e54
Jester's cap (red & blue),00002e55
Jester's cap (green & red),00002e56
Jockey's helmet (pink),000014f7
Jockey's helmet (orange),00002d65
Jockey's helmet (green),00002d66
Jockey's helmet (yellow),00002d67
Jockey's helmet (blue),00002d68
Jockey's helmet (red),00002d69
Jockey's helmet (black),00002d6a
Jockey's helmet (white),00002d6b
Detective hat (brown),000014fb
Detective hat (gray),00002e2b
Detective hat (beige),00002e2c
Straw hat (brown),00001516
Straw hat (blue),00002a8c
Straw hat (red),00002a8d
Outback hat (brown),00001517
Outback hat (beige),00002b2d
Outback hat (red),00002b2e
Outback hat (pink),00002b2f
Outback hat (white),00002b30
Snowy knit cap (blue),00001520
Snowy knit cap (black),00002ac6
Snowy knit cap (brown),00002ac7
Snowy knit cap (pink),00002ac8
Snowy knit cap (green),00002ac9
Snowy knit cap (orange),00002aca
Snowy knit cap (red),00002acb
Snowy knit cap (white),00002acc
Colorful striped knit cap (red),00001521
Colorful striped knit cap (blue),00002acd
Colorful striped knit cap (green),00002ace
Colorful striped knit cap (yellow),00002acf
Colorful striped knit cap (purple),00002ad0
Colorful striped knit cap (light blue),00002ad1
Imitation cow skull,00001547
Eggshell,0000160a
Cavalier hat (blue),0000161f
Cavalier hat (red),00002e1f
Cavalier hat (green),00002e20
New Year's silk hat (red),0000173a
New Year's silk hat (blue),0000173b
New Year's silk hat (yellow),0000173c
New Year's silk hat (green),0000173d
New Year's silk hat (orange),0000173e
New Year's silk hat (purple),0000173f
New Year's silk hat (pink),00001740
New Year's silk hat (light blue),00001741
Ancient administrator hat,000017a0
Glengarry,000017a1
Pom casquette (brown),000017a6
Pom casquette (white),00002d13
Pom casquette (red),00002d14
Pom casquette (green),00002d15
Pom casquette (blue),00002d16
Pom casquette (gray),00002d17
Tam-o'-shanter (red),000017a7
Tam-o'-shanter (gray),00002d18
Tam-o'-shanter (blue),00002d19
Tam-o'-shanter (green),00002d1a
Ribbon (green),00000a31
Ribbon (red),00000a32
Ribbon (blue),00002a63
Ribbon (yellow),00002a64
Ribbon (orange),00002a65
Ribbon (pink),00002a66
Ribbon (white),00002a67
Ribbon (black),00002a68
Halo,00001b09
Nurse's cap (pink),00001b23
Nurse's cap (white),00002e24
Nurse's cap (blue),00002e25
Soft-serve hat (vanilla),00001b56
Soft-serve hat (chocolate),00002a53
Soft-serve hat (gold leaf),00002a54
Soft-serve hat (strawberry),00002a55
Soft-serve hat (green tea),00002a56
Soft-serve hat (pale sky),00002a57
Soft-serve hat (purple sweet potato),00002a58
Soft-serve hat (black sesame),00002a59
Bunny ears (black),00001c29
Bunny ears (pink),00002e7e
Bunny ears (red),00002e7f
Bunny ears (light blue),00002e80
Straw umbrella hat,00001c56
Ribboned straw hat (light blue),00001c69
Ribboned straw hat (pink),00002a8e
Ribboned straw hat (black),00002a8f
Small silk hat (purple),00001c76
Small silk hat (black),00002b31
Small silk hat (red),00002b32
Blue rose crown,00001cd1
Gold rose crown,00001cd2
Tiara (silver),00001cf4
Tiara (rose gold),00002617
Tiara (gold),00002618
Tiara hair (silver),000017cc
Tiara hair (gold),00002615
Tiara hair (rose gold),00002616
Headband (pink),000017cd
Headband (blue),00002e76
Headband (purple),00002e77
Headband (green),00002e78
Coin headpiece,000017cb
Pigtail,000016bb
Visual-punk wig,000016c8
Snowperson head,000021a1
Star head,00002686
Headkerchief,000014ca
Fairy-tale hood (red),000014cb
Fairy-tale hood (pink),00002e3c
Fairy-tale hood (yellow),00002e3d
Fairy-tale hood (green),00002e3e
Fairy-tale hood (blue),00002e3f
Fairy-tale hood (light blue),00002e40
Fairy-tale hood (light green),00002e41
Fairy-tale hood (orange),00002e42
Mummy mask (white),000014cc
Bunny hood (pink),000014cd
Bunny hood (yellow),00002db4
Bunny hood (white),00002db5
Cat cap (navy blue),000014ce
Cat cap (brown),00002db6
Cat cap (white),00002db7
Ski mask (green),000014cf
Ski mask (black),00002a4a
Ski mask (lime),00002a4b
Ski mask (red),00002a4c
Ski mask (blue),00002a4d
Skeleton hood,000014d0
Bear cap (brown),000014d2
Bear cap (black),00002db8
Bear cap (pink),00002db9
Bear cap (blue),00002dba
Kappa cap (green),000014d3
Kappa cap (pink),00002db0
Knight's helmet,000014d6
Frog cap (green),000014d7
Frog cap (blue),00002db1
Frog cap (red),00002db2
Frog cap (yellow),00002db3
Gold helmet,000014e2
Football helmet (green),000014fd
Football helmet (white),00002d54
Football helmet (yellow),00002d55
Football helmet (berry red),00002d56
Football helmet (blue),00002d57
Football helmet (turquoise),00002d58
Football helmet (red),00002d59
Football helmet (black),00002d5a
Firefighter's hat (black),000014fe
Firefighter's hat (flame orange),00002d61
Firefighter's hat (brown),00002d62
Firefighter's hat (lime yellow),00002d63
Firefighter's hat (avocado),00002d64
Welding mask,00001505
Samurai helmet (red),0000150a
Samurai helmet (black),00002e65
Samurai helmet (blue),00002e66
Samurai helmet (white),00002e67
Samurai helmet (golden yellow),00002e68
Milkmaid hat,000014f5
Pilot's cap (brown),000014f2
Pilot's cap (black),00002d5d
Pilot's cap (avocado),00002d5e
Baby's hat (baby mint),000014f3
Baby's hat (baby purple),00002e4d
Baby's hat (baby yellow),00002e4e
Baby's hat (baby green),00002e4f
Baby's hat (baby pink),00002e50
Baby's hat (baby gray),00002e51
Baby's hat (baby blue),00002e52
Baby's hat (baby orange),00002e53
Ninja hood (dark blue),000014f4
Ninja hood (gray),00002e5e
Ninja hood (red),00002e5f
Ninja hood (purple),00002e60
Ninja hood (aqua),00002e61
Ninja hood (green),00002e62
Ninja hood (yellow),00002e63
Ninja hood (orange),00002e64
Batter's helmet (red),000014f6
Batter's helmet (navy blue),00002d4c
Batter's helmet (green),00002d4d
Batter's helmet (orange),00002d4e
Batter's helmet (yellow),00002d4f
Wrestling mask (red),000014f8
Wrestling mask (blue),00002e35
Wrestling mask (green),00002e36
Wrestling mask (pink),00002e37
Wrestling mask (black),00002e38
Wrestling mask (yellow),00002e39
Hot-dog hood,000014f9
Knit cap with earflaps (beige),000014fa
Knit cap with earflaps (blue),00002ac0
Knit cap with earflaps (pink),00002ac1
Knit cap with earflaps (green),00002ac2
Knit cap with earflaps (ruby red),00002ac3
Knit cap with earflaps (moss green),00002ac4
Knit cap with earflaps (gray),00002ac5
Space helmet,00001512
Paintball mask (black),00001513
Paintball mask (white),000027f3
Paintball mask (olive),000027f4
Paintball mask (yellow),000027f5
Zap helmet (pink),0000152f
Zap helmet (blue),00002e18
Zap helmet (green),00002e19
Zap helmet (red),00002e1a
Zap helmet (yellow),00002e1b
Zap helmet (black),00002e1c
Zap helmet (silver),00002e1d
Zap helmet (white),00002e1e
Turban (purple),0000153a
Turban (blue),00002e57
Turban (pink),00002e58
Turban (yellow),00002e59
Helmet with goggles (pink),0000153b
Helmet with goggles (green),000027f6
Helmet with goggles (purple),000027f7
Helmet with goggles (blue),000027f8
Helmet with goggles (red),000027f9
Helmet with goggles (light blue),000027fa
Helmet with goggles (black),000027fb
Helmet with goggles (yellow),000027fc
Racing helmet (red),00001543
Racing helmet (white),000027fd
Racing helmet (black),000027fe
Racing helmet (blue),000027ff
Racing helmet (pink),00002800
Racing helmet (green),00002801
Racing helmet (purple),00002802
Racing helmet (light blue),00002803
Imp hood (black),00001558
Imp hood (red),00002dbb
Sheep hood (white),00001559
Sheep hood (pink),00002dbc
Sheep hood (light blue),00002dbd
Sheep hood (brown),00002dbe
Veiled gardening hat (pink),00001625
Veiled gardening hat (blue),00002e27
Veiled gardening hat (orange),00002e28
Veiled gardening hat (green),00002e29
Veiled gardening hat (purple),00002e2a
Headgear (red),00001637
Headgear (blue),00002d5b
Headgear (green),00002d5c
Mohawk wig,00001638
Pompadour wig,00001639
Samurai wig,0000163a
Matronly bun,0000163b
Bun wig (pink),0000163d
Bun wig (blue),00002e70
Bun wig (mustard),00002e71
Bun wig (white),00002e72
Bun wig (purple),00002e73
Bun wig (green),00002e74
Bun wig (orange),00002e75
DJ cap (blue),00001632
DJ cap (pink),00002d10
DJ cap (orange),00002d11
DJ cap (black),00002d12
Gothic headdress (purple),00001633
Gothic headdress (black),00002e79
Gothic headdress (red),00002e7a
Gothic headdress (pink),00002e7b
Gothic headdress (blue),00002e7c
Gothic headdress (light purple),00002e7d
Veil (blue),00001634
Veil (purple),00002e69
Veil (pink),00002e6a
Veil (yellow),00002e6b
Geisha wig (red),0000163f
Geisha wig (pink),0000260d
Geisha wig (golden yellow),0000260e
Geisha wig (green),0000260f
Geisha wig (blue),00002610
Geisha wig (purple),00002611
Geisha wig (black),00002612
Composer's wig,00001640
Power helmet (red),00001641
Power helmet (blue),00002e12
Power helmet (green),00002e13
Power helmet (black),00002e14
Paper bag (beige),000016d0
Fox mask (white),00001792
Fox mask (black),00002ba3
Elder mask,00001793
Noh mask,00001794
Hockey mask,00001799
Catcher's mask (red),000017a2
Catcher's mask (navy blue),00002d50
Catcher's mask (green),00002d51
Catcher's mask (orange),00002d52
Catcher's mask (yellow),00002d53
Kaffiyeh (white),000017a4
Kaffiyeh (red),00002613
Kaffiyeh (black),00002614
Stagehand hat,000017a5
Leaf mask,00001c7b
