Item Name,Item Hex
Oval entrance mat,00001cca
Sloppy rug,00001ccb
Natural wooden-deck rug,00001cd4
White wooden-deck rug,00001cd5
Black wooden-deck rug,00001cd6
Mom's cool kitchen mat,00001cea
Yellow vinyl sheet,00001ceb
Blue vinyl sheet,00001cec
Red vinyl sheet,00001ced
Monochromatic wavy rug,00001d20
Red wavy rug,00001d21
Blue wavy rug,00001d22
Yellow checked rug,00001d26
Peach checked rug,00001d27
Greeen checked rug,00001d28
Red dotted rug,00001d29
Retro dotted rug,00001d2a
Blue dotted rug,00001d2b
Simple green bath mat,00001d5c
Simple pink bath mat,00001d5d
Simple navy bath mat,00001d5e
Simple medium brown mat,00001d5f
Simple small avocado mat,00001d60
Simple small blue mat,00001d61
Simple small brown mat,00001d62
Simple medium blue mat,00001d63
Simple medium avocado mat,00001d64
Peach stripes rug,00001d6c
Blue stripes rug,00001d6d
Green stripes rug,00001d6e
Simple medium orange mat,00001d70
Simple small red mat,00001d71
Simple medium purple mat,00001d72
Simple medium black mat,00001d73
Simple medium red mat,00001d74
Simple small orange mat,00001d75
Simple small purple mat,00001d76
Simple small black mat,00001d77
Bunny Day rug,00001d7a
White heart rug,00001d9a
Turquoise heart rug,00001d9b
Purple heart rug,00001d9c
Black-design kitchen mat,00001daa
Blue-design kitchen mat,00001dab
Yellow-design kitchen mat,00001dac
Blue Persian rug,00001f63
Yellow Persian rug,00001f64
Purple Persian rug,00001f65
Green kitchen mat,000020c9
Blue kitchen mat,000020ca
Yellow kitchen mat,000020cb
Red argyle rug,00002112
Blue argyle rug,00002113
Brown argyle rug,00002114
White rose rug,00002235
Red rose rug,00002236
Yellow rose rug,00002237
Blue message mat,0000245e
Yellow message mat,0000245f
Red message mat,00002460
Red kilim-style carpet,00002461
Green kilim-style carpet,00002462
Yellow kilim-style carpet,00002463
Blue kilim-style carpet,00002464
Mom's reliable kitchen mat,00002545
Mom's playful kitchen mat,00002546
Mom's lively kitchen mat,00002547
Yellow medium round mat,00002548
Red medium round mat,00002549
Blue medium round mat,0000254a
Yellow small round mat,0000254b
Red small round mat,0000254c
Blue small round mat,0000254d
Purple shaggy rug,0000255a
Brown shaggy rug,0000255b
Blue shaggy rug,0000255c
Red blocks rug,00002b5d
Blue blocks rug,00002b5e
Yellow blocks rug,00002b5f
Black blocks rug,00002b60
Light bamboo rug,00002b69
Dark bamboo rug,00002b6a
Nook Inc. botanical rug,00003025
Nook Inc. silk rug,0000306c
Custom-design rug,00002277
