Item Hex,Item Name
00001ada,Sepia puzzle wall
00001adb,Purple puzzle wall
00001adc,Botanical-tile wall
00001add,Black botanical-tile wall
00001ade,Green intricate wall
00001adf,Red intricate wall
00001bd7,Blue tile wall
00001c13,Forest wall
00001c25,Cherry-blossom-trees wall
00001c2f,Cute white wall
00001c30,Cute red wall
00001c31,Cute blue wall
00001c32,Cute yellow wall
00001c49,Blue diner wall
00001c4a,Pink diner wall
00001c4b,Gray diner wall
00001c4c,Brown diner wall
00001c6a,Pink quilt wall
00001c6b,Purple quilt wall
00001c6c,Yellow quilt wall
00001c6d,Blue quilt wall
00002ba8,Chic tearoom wall
00002ba9,Soothing tearoom wall
00002baa,Modern tearoom wall
00002bac,Harmonious wall
00002e8b,Misty-garden wall
